country,total_cases,total_deaths,total_recovered,active_cases,cases_per_1M,deaths_per_1M,total_tests,tests_per_1M,life_expectancy,population,density,med_age,temp_c,health_efficiency _index,arrivals_number
Slovakia,471,1,10,460,86,0.2,13631,2497,78,5459642,114,41,6.8,0.754,2162000
Belarus,440,5,53,382,47,0.5,32000,3386,75.2,9449323,47,40,6.15,0.723,11060200
Costa Rica,435,2,13,420,85,0.4,4654,914,80.94,5094118,100,33,24.8,0.849,2960000
Cyprus,426,9,33,384,353,7,10154,8410,81.51,1207359,131,37,18.45,0.906,3652000
Uruguay,400,5,93,302,115,1,5063,1458,78.43,3473730,20,36,17.55,0.745,3674000
Taiwan,355,5,50,300,15,0.2,36304,1524,81.04,23816775,673,42,22,,2730000
Albania,333,20,99,214,116,7,2247,781,78.96,2877797,105,36,11.4,0.774,4643000
Jordan,323,5,74,244,32,0.5,239,23,75.01,10203134,115,24,18.3,0.698,3843500
Burkina Faso,318,16,66,236,15,0.8,0,0,62.98,20903273,76,18,28.25,0.543,143000
Afghanistan,299,7,10,282,8,0.2,0,0,65.98,38928346,60,18,12.6,0.325,
Cuba,288,6,15,267,25,0.5,3342,295,79.18,11326616,106,42,25.2,0.834,4594000
Oman,277,2,61,214,54,0.4,0,0,78.58,5106626,16,31,25.6,0.961,2372000
Uzbekistan,266,2,25,239,8,0.06,0,0,72.04,33469203,79,28,12.05,0.599,2690000
Honduras,264,15,3,246,27,2,0,0,75.87,9904607,89,24,23.5,0.544,851000
Vietnam,240,0,90,150,2,0,75458,775,75.77,97338579,314,32,24.45,0.393,12922000
Senegal,219,2,72,145,13,0.1,195,12,68.87,16743927,87,19,27.85,0.756,1365000
Palestine,217,1,21,195,43,0.2,7553,1481,74.62,5101414,847,21,19,,5030000
Nigeria,214,4,25,185,1,0.02,4000,19,55.75,206139589,226,18,26.8,0.176,1889000
Malta,213,0,2,211,482,0,9703,21975,83.06,441543,1380,43,19.2,0.978,2274000
Ghana,205,5,31,169,7,0.2,0,0,64.94,31072940,137,22,27.2,0.522,897000
Montenegro,201,2,1,198,320,3,1456,2318,77.39,628066,47,39,10.55,,1877000
Mauritius,196,7,7,182,154,6,0,0,75.51,1271768,626,37,22.4,0.691,1342000
Sri Lanka,166,5,27,134,8,0.2,0,0,77.56,21413249,341,34,26.95,0.716,2116400
Georgia,162,1,36,125,41,0.3,0,0,74.24,3989167,57,38,5.8,0.615,6483000
Venezuela,155,7,52,96,5,0.2,1779,63,72.34,28435940,32,30,25.35,0.775,427000
Niger,144,8,0,136,6,0.3,4012,166,63.62,24206644,19,15,27.15,0.337,164000
Kyrgyzstan,144,1,9,134,22,0.2,9618,1474,71.95,6524195,34,26,1.55,0.455,4568000
Bolivia,139,10,1,128,12,0.9,591,51,72.35,11673021,11,26,21.55,0.571,1134000
Brunei,135,1,66,68,309,2,7801,17832,76.35,437479,83,32,26.85,0.829,259000
Kenya,126,4,4,118,2,0.07,2201,41,67.47,53771296,94,20,24.75,0.505,1364000
Cambodia,114,0,50,64,7,0,5768,345,70.54,16718965,95,26,26.8,0.322,5602000
Guinea,111,0,5,106,8,0,0,0,62.64,13132795,53,18,25.7,0.385,60000
Trinidad and Tobago,103,6,1,96,74,4,736,526,73.91,1399488,273,36,25.75,0.742,395000
Rwanda,102,0,0,102,8,0,0,0,70,12952218,525,20,17.85,0.327,932000
